header,expid,year,season,host,route1,route2,route3,route4,nation,leaders,success1,success2,success3,success4,totmembers,abcmembers,smtmembers,mdeaths,mabcdeaths,tothired,smthired,hdeaths,habcdeaths
Expeditions to Annapurna I (8091m),,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
1900 to 2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
21/03/2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
The Himalayan Database,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,ANN100101,2000,1,1,N Face,,,,Spain,Felix Inurrategi,FALSE,FALSE,FALSE,FALSE,4,4,0,0,0,0,0,0,0
,ANN100102,2000,1,1,N Face,,,,Spain,Josep Pujante,FALSE,FALSE,FALSE,FALSE,7,6,0,0,0,3,0,0,0
,ANN100103,2000,1,1,N Face,,,,France,Thierry Bolo,FALSE,FALSE,FALSE,FALSE,8,8,0,0,0,3,0,0,0
,ANN100104,2000,1,1,N Face,,,,USA,Edmund Viesturs,FALSE,FALSE,FALSE,FALSE,4,4,0,0,0,0,0,0,0
,ANN100301,2000,3,1,N Face-E Peak (for traverse of summits),,,,France,Nicolas Terray,FALSE,FALSE,FALSE,FALSE,8,8,0,0,0,3,0,0,0
,ANN100302,2000,3,1,N Face,,,,Japan,Tomiyasu Ishikawa,FALSE,FALSE,FALSE,FALSE,10,10,0,0,0,6,0,0,0
,ANN100303,2000,3,1,Eastern end of S Face (up); North Ridge (down),,,,France,"Yannick Graziani, Christian Trommsdorf, Patrick Wagnon",FALSE,FALSE,FALSE,FALSE,3,3,0,0,0,0,0,0,0
,ANN102101,2002,1,1,N Face (starting with 74 Span route),,,,UK,Alan Hinkes,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,1,1,0,0
,ANN102102,2002,1,1,N Face,,,,S Korea,Oh Hee-Joon,TRUE,FALSE,FALSE,FALSE,6,6,1,0,0,3,2,0,0
,ANN102103,2002,1,1,N Face via ridge E of Dutch Rib (74 Span rte),,,,India,Col S. C. Sharma,TRUE,FALSE,FALSE,FALSE,19,17,4,0,0,13,3,0,0
,ANN102104,2002,1,1,E Ridge via S Face of Glacier Dome,,,,Spain,"Alberto Inurrategi, Ed Viesturs",TRUE,FALSE,FALSE,FALSE,6,6,2,0,0,0,0,0,0
,ANN102301,2002,3,1,E Ridge from S,,,,Italy,Christian Kuntner,FALSE,FALSE,FALSE,FALSE,6,6,0,0,0,0,0,0,0
,ANN103101,2003,1,1,S Face (Bonington route),,,,Japan,Atsushi Yamamoto,TRUE,FALSE,FALSE,FALSE,10,9,6,0,0,5,2,0,0
,ANN103301,2003,3,1,S Face,,,,Italy,Adriano Favre,FALSE,FALSE,FALSE,FALSE,7,7,0,0,0,2,0,0,0
,ANN104101,2004,1,1,S Face (left of Bonington route),,,,Poland,Piotr Pustelnik,FALSE,FALSE,FALSE,FALSE,8,8,0,0,0,2,0,0,0
,ANN104102,2004,1,1,N Face (French route),,,,Germany,Ralf Dujmovits,TRUE,FALSE,FALSE,FALSE,7,6,4,0,0,0,0,0,0
,ANN104301,2004,3,1,N Face (French route),,,,Japan,Michio Sato,FALSE,FALSE,FALSE,FALSE,4,4,0,2,2,6,0,0,0
,ANN105101,2005,1,1,N Face,,,,Italy,Mario Merelli,TRUE,FALSE,FALSE,FALSE,5,5,3,0,0,0,0,0,0
,ANN105102,2005,1,1,N Face (French route),,,,USA,Ed Viesturs,TRUE,FALSE,FALSE,FALSE,3,3,2,0,0,0,0,0,0
,ANN105103,2005,1,1,N Face,,,,USA,Charles Mace,FALSE,FALSE,FALSE,FALSE,2,2,0,0,0,0,0,0,0
