header,expid,year,season,host,route1,route2,route3,route4,nation,leaders,success1,success2,success3,success4,totmembers,abcmembers,smtmembers,mdeaths,mabcdeaths,tothired,smthired,hdeaths,habcdeaths
Expeditions to Cho Oyu (8188m),,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
1900 to 2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
21/03/2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
The Himalayan Database,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,CHOY00101,2000,1,2,NW side,,,,Austria,Wilfried Studer,FALSE,FALSE,FALSE,FALSE,5,4,0,0,0,0,0,0,0
,CHOY00102,2000,1,2,NW side,,,,Russia,Marina Ershova,TRUE,FALSE,FALSE,FALSE,9,9,3,2,2,0,0,0,0
,CHOY00103,2000,1,2,NW side,,,,Germany,Luis Stitzinger,TRUE,FALSE,FALSE,FALSE,8,8,4,0,0,2,0,0,0
,CHOY00104,2000,1,2,NW side,,,,USA,Robert Anderson,TRUE,FALSE,FALSE,FALSE,7,7,3,0,0,5,1,0,0
,CHOY00105,2000,1,2,NW side,,,,Belgium,Marc Van De Walle,TRUE,FALSE,FALSE,FALSE,17,15,6,0,0,3,1,0,0
,CHOY00106,2000,1,2,NW side,,,,Spain,Jordi Tosas,TRUE,FALSE,FALSE,FALSE,7,6,3,0,0,2,2,0,0
,CHOY00107,2000,1,2,NW side,,,,Iran,Sadegh Aghajani Kalkhoran,TRUE,FALSE,FALSE,FALSE,15,15,7,0,0,4,2,0,0
,CHOY00108,2000,1,2,NW side,,,,USA,Craig John,TRUE,FALSE,FALSE,FALSE,14,12,4,0,0,5,5,0,0
,CHOY00109,2000,1,2,NW side,,,,Australia,Duncan Chessell,TRUE,FALSE,FALSE,FALSE,5,5,2,0,0,3,2,0,0
,CHOY00110,2000,1,2,NW side,,,,S Korea,Bae Hae-Dong,TRUE,FALSE,FALSE,FALSE,8,8,3,0,0,3,1,0,0
,CHOY00111,2000,1,2,NW side,,,,S Korea,Lim Jong-Ha,TRUE,FALSE,FALSE,FALSE,9,9,1,0,0,1,1,0,0
,CHOY00112,2000,1,2,NW side,,,,S Korea,Kim Tae-Wung,FALSE,FALSE,FALSE,FALSE,2,2,0,0,0,1,0,0,0
,CHOY00113,2000,1,2,NW side,,,,USA,Rick Wilcox,FALSE,FALSE,FALSE,FALSE,10,9,0,0,0,5,0,0,0
,CHOY00114,2000,1,2,NW side,,,,Australia,Roger Grose,TRUE,FALSE,FALSE,FALSE,10,10,3,0,0,0,0,0,0
,CHOY00115,2000,1,2,NW side,,,,USA,Gregory Horne,FALSE,FALSE,FALSE,FALSE,4,4,0,0,0,3,0,0,0
,CHOY00116,2000,1,2,NW side,,,,Brazil,Paulo Coelho,FALSE,FALSE,FALSE,FALSE,3,3,0,0,0,1,0,0,0
,CHOY00117,2000,1,2,NW side,,,,Japan,Takashi Koizumi,TRUE,FALSE,FALSE,FALSE,13,13,9,0,0,8,8,0,0
,CHOY00301,2000,3,2,NW side,,,,USA,Tap Richards,TRUE,FALSE,FALSE,FALSE,5,5,4,0,0,2,2,0,0
,CHOY00302,2000,3,2,NW side,,,,USA,Stephen Hoke,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,1,0,0,0
,CHOY00303,2000,3,2,NW side,,,,S Korea,Lee Jae-Deung,FALSE,FALSE,FALSE,FALSE,6,6,0,0,0,1,0,0,0
,CHOY00304,2000,3,2,NW side,,,,S Korea,Cho Chang-Bae,TRUE,FALSE,FALSE,FALSE,7,7,2,0,0,2,2,0,0
,CHOY00305,2000,3,2,NW side,,,,Australia,"Matt Carlin, Mark Savage",FALSE,FALSE,FALSE,FALSE,2,2,0,0,0,0,0,0,0
,CHOY00306,2000,3,2,NW side,,,,USA,Richard Piotrowski,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,1,0,0,0
