header,expid,year,season,host,route1,route2,route3,route4,nation,leaders,success1,success2,success3,success4,totmembers,abcmembers,smtmembers,mdeaths,mabcdeaths,tothired,smthired,hdeaths,habcdeaths
Expeditions to Kangchenjunga (8586m),,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
1900 to 2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
21/03/2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
The Himalayan Database,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,KANG00101,2000,1,1,SW Face,,,,UK,Alan Hinkes,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,1,0,0,0
,KANG00102,2000,1,1,SW Face,,,,India,Sunil Dutt Sharma,TRUE,FALSE,FALSE,FALSE,15,15,1,0,0,9,2,0,0
,KANG00103,2000,1,1,SW Face,,,,Switzerland,Andre Georges,FALSE,FALSE,FALSE,FALSE,4,4,0,0,0,1,0,0,0
,KANG00104,2000,1,1,E Ridge-N Face,,,,Austria,Willi Bauer,FALSE,FALSE,FALSE,FALSE,10,10,0,0,0,5,0,0,0
,KANG00105,2000,1,1,SW Face,,,,Switzerland,Norbert Joos,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,1,0,0,0
,KANG00106,2000,1,1,SW Face,,,,UK,Stevan Jackson,TRUE,FALSE,FALSE,FALSE,15,14,2,0,0,4,2,0,0
,KANG00107,2000,1,1,SW Face,,,,S Korea,Um Hong-Gil,TRUE,FALSE,FALSE,FALSE,8,7,2,0,0,8,0,1,1
,KANG00301,2000,3,1,SW Face,,,,Czech Republic,Josef Simunek,FALSE,FALSE,FALSE,FALSE,6,6,0,0,0,2,0,0,0
,KANG01101,2001,1,1,SW Face,,,,Poland,Piotr Pustelnik,TRUE,FALSE,FALSE,FALSE,9,8,4,0,0,0,0,0,0
,KANG02101,2002,1,1,SW Face,,,,Czech Republic,Zdenek Hruby,TRUE,FALSE,FALSE,FALSE,3,3,2,0,0,0,0,0,0
,KANG02102,2002,1,1,SW Face,,,,Kazakhstan,Ervand Elyinski,TRUE,FALSE,FALSE,FALSE,8,7,7,0,0,0,0,0,0
,KANG02103,2002,1,1,N Face,,,,USA,Dan Mazur,TRUE,FALSE,FALSE,FALSE,12,12,2,1,1,5,0,0,0
,KANG02104,2002,1,1,SW Face,,,,S Korea,Han Wang-Yong,TRUE,FALSE,FALSE,FALSE,8,8,2,0,0,3,1,0,0
,KANG03102,2003,1,1,SW Face,,,,USA,Gary Pfisterer,FALSE,FALSE,FALSE,FALSE,6,6,0,0,0,0,0,0,0
,KANG03103,2003,1,1,SW Face,,,,Switzerland,Norbert Joos,TRUE,FALSE,FALSE,FALSE,3,3,1,0,0,2,0,0,0
,KANG03104,2003,1,1,NE-N Ridge,,,,Germany,Ralf Dujmovits,FALSE,FALSE,FALSE,FALSE,6,6,0,0,0,2,0,0,0
,KANG03105,2003,1,1,SW Face,,,,Australia,Andrew Lock,FALSE,FALSE,FALSE,FALSE,2,2,0,0,0,0,0,0,0
,KANG03106,2003,1,1,SW Face,,,,Italy,Christian Kuntner,TRUE,FALSE,FALSE,FALSE,4,4,4,0,0,0,0,0,0
,KANG03301,2003,3,1,SW Face,,,,Spain,Josep Noguera,FALSE,FALSE,FALSE,FALSE,5,4,0,0,0,0,0,0,0
,KANG04101,2004,1,1,N Face-Ridge,,,,Austria,Helmut Ortner,FALSE,FALSE,FALSE,FALSE,6,6,0,0,0,2,0,0,0
,KANG04301,2004,3,1,SW Face,,,,India,Col S. C. Sharma,TRUE,FALSE,FALSE,FALSE,12,11,6,0,0,9,4,0,0
,KANG05101,2005,1,1,SW Face,,,,Switzerland,Norbert Joos,FALSE,FALSE,FALSE,FALSE,6,6,0,0,0,3,0,0,0
,KANG05102,2005,1,1,SW Face,,,,UK,Alan Hinkes,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,1,0,0,0
,KANG05201,1905,2,1,SW Face,,,,UK,Aleister Crowley,FALSE,FALSE,FALSE,FALSE,5,5,0,1,1,4,0,4,4
,KANG06101,2006,1,1,SW Face,,,,Colombia,Ivan Vallejo,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0,0,0,0
,KANG06102,2006,1,1,SW Face,,,,Germany,Ralf Dujmovits,TRUE,FALSE,FALSE,FALSE,4,4,4,0,0,0,0,0,0
,KANG06103,2006,1,1,SW Face,,,,Spain,Juanito Oiarzabal,FALSE,FALSE,FALSE,FALSE,5,5,0,0,0,2,0,0,0
,KANG06104,2006,1,1,SW Face,,,,Australia,Andrew Lock,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,0,0
,KANG06105,2006,1,1,SW Face,,,,Portugal,Joao Garcia,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0,0,0,0
,KANG06106,2006,1,1,SW Face,,,,Switzerland,Norbert Joos,TRUE,FALSE,FALSE,FALSE,5,5,3,0,0,4,3,0,0
,KANG07101,2007,1,1,SW Face,,,,Spain,Oscar Cadiach,FALSE,FALSE,FALSE,FALSE,5,5,0,1,1,2,0,0,0
,KANG08101,2008,1,1,SW Face,,,,India,Satish Chander Nair,TRUE,FALSE,FALSE,FALSE,12,12,5,0,0,10,5,0,0
,KANG08301,2008,3,1,SW Face,,,,Sweden,Joergen Aamot,FALSE,FALSE,FALSE,FALSE,2,2,0,0,0,0,0,0,0
,KANG09101,2009,1,1,SW Face,,,,Netherlands,Hermann Kristen,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,1,0,0,0
,KANG09102,2009,1,1,SW Face,,,,Italy,Romano Benet,FALSE,FALSE,FALSE,FALSE,2,2,0,0,0,0,0,0,0
,KANG09103,2009,1,1,SW Face,,,,UK,Keith Kerr,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,3,3,0,0
,KANG09104,2009,1,1,SW Face,,,,Spain,Oscar Cadiach,TRUE,FALSE,FALSE,FALSE,9,9,2,0,0,0,0,0,0
,KANG09105,2009,1,1,SW Face,,,,Spain,Edurne Pasaban,TRUE,FALSE,FALSE,FALSE,6,6,4,0,0,4,1,0,0
,KANG09106,2009,1,1,SW Face,,,,Norway,Jon Gangdal,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,5,2,0,0
,KANG09107,2009,1,1,SW Face,,,,S Korea,Kim Jae-Soo,TRUE,FALSE,FALSE,FALSE,3,3,2,0,0,3,3,0,0
,KANG09108,2009,1,1,SW Face,,,,S Korea,Oh Eun-Sun,TRUE,FALSE,FALSE,FALSE,5,2,1,0,0,5,3,0,0
,KANG10101,2010,1,1,SW Face,,,,S Korea,Hong Bo-Seong,TRUE,FALSE,FALSE,FALSE,4,3,2,0,0,2,2,0,0
,KANG11101,2011,1,1,SW Face,,,,Turkey,"Guntis Brands, Tunc Findik",TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,1,1,0,0
,KANG11102,2011,1,1,SW Face,,,,UK,Ted Atkins,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,2,2,0,0
,KANG11103,2011,1,1,SW Face,,,,USA,Cleo Weidlich,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,1,1,0,0
,KANG11104,2011,1,1,SW Face,,,,Iran,Azim Gheichisaz,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,0,0
,KANG11105,2011,1,1,SW Face,,,,Nepal,Mingma Sherpa,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,0,0
,KANG11106,2011,1,1,SW Face,,,,Russia,Alexei Bolotov,TRUE,FALSE,FALSE,FALSE,8,8,3,0,0,0,0,0,0
,KANG11107,2011,1,1,SW Face,,,,Austria,Christian Stangl,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,0,0
,KANG11108,2011,1,1,SW Face,,,,Spain,Oscar Cadiach,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,1,1,0,0
,KANG11109,2011,1,1,SW Face,,,,India,Basanta Kumar Singha Roy,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,3,3,0,0
,KANG11110,2011,1,1,SW Face,,,,Australia,Blair Falahey,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,1,1,0,0
,KANG11111,2011,1,1,SW Face,,,,France,Ludovic Challeat,TRUE,FALSE,FALSE,FALSE,8,8,3,0,0,4,3,0,0
,KANG11112,2011,1,1,SW Face,,,,Serbia,Dragan Celikovic,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,1,1,0,0
,KANG11113,2011,1,1,SW Face,,,,China,Yang Chun-Feng,TRUE,FALSE,FALSE,FALSE,3,3,2,0,0,2,2,0,0
,KANG11114,2011,1,1,SW Face,,,,Italy,Mario Panzeri,TRUE,FALSE,FALSE,FALSE,4,4,1,0,0,0,0,0,0
,KANG12101,2012,1,1,SW Face,,,,Japan,Kazuyoshi Kondo,FALSE,FALSE,FALSE,FALSE,2,2,0,0,0,3,0,0,0
,KANG12102,2012,1,1,SW Face,,,,USA,David Abramczyk (Abramski),FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,0,0,0,0
,KANG12103,2012,1,1,SW Face,,,,Chile,Luis Alvarez,FALSE,FALSE,FALSE,FALSE,6,5,0,0,0,0,0,0,0
,KANG12104,2012,1,1,SW Face,,,,Italy,Nives Meroi,TRUE,FALSE,FALSE,FALSE,7,7,1,0,0,0,0,0,0
,KANG12105,2012,1,1,SW Face,,,,Taiwan,Lee Hsiao-Shih,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,4,0,0,0
,KANG13101,2013,1,1,SW Face,,,,S Korea,Kim Hong-Bin,TRUE,FALSE,FALSE,FALSE,4,4,2,1,1,3,0,0,0
,KANG13102,2013,1,1,SW Face,,,,Spain,Carlos Soria,FALSE,FALSE,FALSE,FALSE,4,4,0,0,0,5,0,0,0
,KANG13103,2013,1,1,SW Face,,,,Hungary,Zsolt Eross,TRUE,FALSE,FALSE,FALSE,4,3,2,2,2,0,0,0,0
,KANG13104,2013,1,1,SW Face,,,,Iran,Parvaneh Kazemi,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,1,0,0,0
,KANG13105,2013,1,1,SW Face,,,,Bangladesh,Mohammad Abdul Mohit,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,1,0,0,0
,KANG13106,2013,1,1,SW Face,,,,Italy,Mario Vielmo,TRUE,FALSE,FALSE,FALSE,3,3,1,0,0,2,1,1,1
,KANG13107,2013,1,1,SW Face,,,,China,Zhang Liang,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,2,2,1,1
,KANG13108,2013,1,1,SW Face,,,,Spain,Oscar Cadiach,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,4,1,0,0
,KANG13109,2013,1,1,SW Face,,,,China,Luo Jing,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,1,0,0,0
,KANG13110,2013,1,1,SW Face,,,,Iran,Reza Shahlaee,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,1,1,0,0
,KANG14101,2014,1,1,SW Face,,,,Italy,Nives Meroi,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,0,0,0,0
,KANG14102,2014,1,1,SW Face,,,,India,Tusi Das,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,1,1,0,0
,KANG14103,2014,1,1,SW Face,,,,S Korea,Kim Mi-Gon,TRUE,FALSE,FALSE,FALSE,3,3,1,0,0,4,2,0,0
,KANG14104,2014,1,1,SW Face,,,,India,Dipankar Ghosh,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,1,1,0,0
,KANG14105,2014,1,1,SW Face,,,,India,Rajib Bhattarcharya,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,2,1,0,0
,KANG14106,2014,1,1,SW Face,,,,Japan,Yukio Matsuhira,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,1,1,0,0
,KANG14107,2014,1,1,SW Face,,,,Bulgaria,Boyan Petrov,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,0,0
,KANG14108,2014,1,1,SW Face,,,,India,Chhanda Gayen,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,2,2,0,0
,KANG14109,2014,1,1,SW Face,,,,Russia,Oxana Morneva,TRUE,FALSE,FALSE,FALSE,3,3,2,0,0,3,2,0,0
,KANG14110,2014,1,1,SW Face,,,,Spain,Carlos Soria,TRUE,FALSE,FALSE,FALSE,5,4,4,0,0,8,3,0,0
,KANG14111,2014,1,1,N Ridge,SW Face (BC only),,,Russia,Denis Urubko,TRUE,FALSE,FALSE,FALSE,5,5,1,0,0,0,0,0,0
,KANG14112,2014,1,1,SW Face,,,,Spain,Jorge Egocheaga,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,0,0,0,0
,KANG14113,2014,1,1,SW Face,,,,Italy,Emrik Favre,TRUE,FALSE,FALSE,FALSE,4,4,1,0,0,1,0,0,0
,KANG14114,2014,1,1,SW Face,,,,Finland,Samuli Mansikka,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,0,0
,KANG14115,2014,1,1,SW Face,,,,Japan,Tatsuo Matsumoto,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,1,1,0,0
,KANG17101,2017,1,1,SW Face,,,,Nepal,Lakpa Sherpa,FALSE,FALSE,FALSE,FALSE,4,4,0,0,0,6,0,0,0
,KANG17102,2017,1,1,SW Face,,,,Italy,Simone Moro,FALSE,FALSE,FALSE,FALSE,3,3,0,0,0,0,0,0,0
,KANG17103,2017,1,1,SW Face,,,,Nepal,Maya Sherpa,FALSE,FALSE,FALSE,FALSE,3,3,0,0,0,3,0,0,0
,KANG17104,2017,1,1,SW Face,,,,India,Arjun Vajpai,FALSE,FALSE,FALSE,FALSE,11,10,0,0,0,8,0,0,0
,KANG18101,2018,1,1,SW Face,,,,Switzerland,Sophie Lavaud,TRUE,FALSE,FALSE,FALSE,13,13,2,0,0,4,0,0,0
,KANG18102,2018,1,1,SW Face,,,,Nepal,Dawa Steven Sherpa,TRUE,FALSE,FALSE,FALSE,10,9,6,0,0,7,5,0,0
,KANG18103,2018,1,1,SW Face,,,,India,Nirmal Kumar,TRUE,FALSE,FALSE,FALSE,12,12,10,0,0,19,15,0,0
,KANG18104,2018,1,1,SW Face,,,,Australia,Christine Burke,TRUE,FALSE,FALSE,FALSE,5,5,1,0,0,8,2,0,0
,KANG18105,2018,1,1,SW Face,,,,Chile,Rodrigo Vivanco,FALSE,FALSE,FALSE,FALSE,2,2,0,0,0,0,0,0,0
,KANG18106,2018,1,1,SW Face,,,,Nepal,Mingma Gyalje Sherpa,TRUE,FALSE,FALSE,FALSE,3,3,2,0,0,2,2,0,0
