header,expid,year,season,host,route1,route2,route3,route4,nation,leaders,success1,success2,success3,success4,totmembers,abcmembers,smtmembers,mdeaths,mabcdeaths,tothired,smthired,hdeaths,habcdeaths
Expeditions to Makalu (8485m),,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
1900 to 2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
21/03/2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
The Himalayan Database,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,MAKA00101,2000,1,1,Makalu La-NW Ridge,,,,S Korea,Park Young-Seok,TRUE,FALSE,FALSE,FALSE,5,5,2,0,0,5,1,0,0
,MAKA00102,2000,1,1,Makalu La-NW Ridge,,,,Germany,Goetz Wiegand,TRUE,FALSE,FALSE,FALSE,8,5,5,1,1,0,0,0,0
,MAKA00103,2000,1,1,Makalu La-NW Ridge,,,,Italy,Christian Kuntner,TRUE,FALSE,FALSE,FALSE,5,5,3,0,0,0,0,0,0
,MAKA00104,2000,1,1,Makalu La-NW Ridge,,,,Germany,Peter Guggemos,FALSE,FALSE,FALSE,FALSE,4,4,0,0,0,1,0,0,0
,MAKA00401,2000,4,1,W Pillar (to 5800m),S Pillar-S Col (to 6400m),NW side (to 7100m),,Poland,Krysztof Wielicki,FALSE,FALSE,FALSE,FALSE,11,11,0,0,0,0,0,0,0
,MAKA01101,2001,1,1,Makalu La-NW Ridge,,,,Austria,Helmut Ortner,TRUE,FALSE,FALSE,FALSE,8,8,4,0,0,2,0,0,0
,MAKA01102,2001,1,1,Makalu La-NW Ridge,,,,Austria,Erich Resch,FALSE,FALSE,FALSE,FALSE,1,1,0,1,1,0,0,0,0
,MAKA01103,2001,1,1,SE Pillar,,,,USA,Brendan Cusik,FALSE,FALSE,FALSE,FALSE,7,6,0,0,0,0,0,0,0
,MAKA01104,2001,1,1,Makalu La-NW Ridge,,,,Spain,Eloy Sanchez,FALSE,FALSE,FALSE,FALSE,8,8,0,0,0,3,0,0,0
,MAKA01105,2001,1,1,Makalu La-NW Ridge,,,,New Zealand,Guy Cotter,TRUE,FALSE,FALSE,FALSE,9,9,2,0,0,4,1,0,0
,MAKA01106,2001,1,1,Makalu La-NW Ridge,,,,Austria,Hermann Trippacher,TRUE,FALSE,FALSE,FALSE,11,11,3,0,0,2,0,0,0
,MAKA01107,2001,1,1,Makalu La-NW Ridge,,,,Italy,Renzo Corona,TRUE,FALSE,FALSE,FALSE,10,7,1,0,0,2,0,0,0
,MAKA01108,2001,1,1,Makalu La-NW Ridge,,,,Chile,Carlos Bascou,TRUE,FALSE,FALSE,FALSE,7,6,3,0,0,0,0,0,0
,MAKA01109,2001,1,1,Makalu La-NW Ridge,,,,Iran,Sadegh Aghajani,FALSE,FALSE,FALSE,FALSE,15,13,0,0,0,4,0,0,0
,MAKA01110,2001,1,1,Makalu La-NW Ridge,,,,S Korea,Han Wang-Yong,TRUE,FALSE,FALSE,FALSE,6,6,2,0,0,2,2,0,0
,MAKA01301,2001,3,1,Makalu La-NW Ridge,,,,Switzerland,Norbert Joos,FALSE,FALSE,FALSE,FALSE,6,6,0,0,0,1,0,0,0
,MAKA02101,2002,1,1,Makalu La-NW Ridge,,,,Switzerland,Norbert Joos,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,0,0,0,0
,MAKA02102,2002,1,1,Makalu La-NW Ridge,,,,Poland,Piotr Pustelnik,TRUE,FALSE,FALSE,FALSE,12,12,3,1,1,1,0,0,0
,MAKA02103,2002,1,1,Makalu La-NW Ridge,,,,Spain,Edurne Pasaban,TRUE,FALSE,FALSE,FALSE,6,6,4,0,0,3,1,0,0
,MAKA02104,2002,1,1,W Pillar,,,,Spain,Juanito Oiarzabal,FALSE,FALSE,FALSE,FALSE,8,6,0,0,0,3,0,6,0
,MAKA03101,2003,1,1,Makalu La-NW Ridge,,,,China,Samdrup,TRUE,FALSE,FALSE,FALSE,9,6,5,0,0,4,0,0,0
,MAKA03301,2003,3,1,Makalu La-NW Ridge,,,,Switzerland,Daniel Schliefsteiner,FALSE,FALSE,FALSE,FALSE,5,4,0,0,0,0,0,0,0
,MAKA04101,2004,1,1,W Pillar,,,,Kazakhstan,Maxut Zhumayev,TRUE,FALSE,FALSE,FALSE,9,8,4,2,2,0,0,0,0
,MAKA04102,2004,1,1,SE Ridge,,,,UK,Colin Scott,FALSE,FALSE,FALSE,FALSE,14,14,0,0,0,4,0,0,0
