game_id,move_id,vision,vision_simple,vision_advanced,vision_expert,snake_length,head_direction,head_pos,apple_pos,move,apple_pos_new,facing_apple,closed_region,hit,life,prob_to_live
0,0,1030,1101,11011000,110110000010,3,0,"(5, 5)","(5, 4)",1,"(5, 4)",0,0,0,1,
0,1,0003,1110,11101001,111010010001,3,1,"(6, 5)","(5, 4)",1,"(5, 4)",0,0,0,1,
0,2,0003,1110,11101001,111010010001,3,1,"(7, 5)","(5, 4)",2,"(5, 4)",0,0,0,1,
0,3,3000,0111,01111001,011110011000,3,2,"(7, 6)","(5, 4)",1,"(5, 4)",0,0,0,1,
0,4,0003,1110,11101001,111010010001,3,1,"(8, 6)","(5, 4)",2,"(5, 4)",0,0,0,1,
0,5,3000,0111,01111001,011110011000,3,2,"(8, 7)","(5, 4)",0,"(5, 4)",1,0,3,0,
1,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(0, 6)",2,"(0, 6)",1,0,3,0,
2,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(4, 1)",1,"(4, 1)",0,0,0,1,
2,1,0003,1110,11101001,111010010001,3,1,"(6, 5)","(4, 1)",2,"(4, 1)",0,0,0,1,
2,2,3000,0111,01111001,011110011000,3,2,"(6, 6)","(4, 1)",0,"(4, 1)",1,0,3,0,
3,0,0030,1101,11011100,110111000010,3,0,"(5, 5)","(8, 3)",0,"(8, 3)",1,0,0,1,
3,1,0030,1101,11011100,110111000010,3,0,"(5, 4)","(8, 3)",2,"(8, 3)",0,0,3,0,
4,0,0030,1101,11010110,110101100010,3,0,"(5, 5)","(7, 8)",0,"(7, 8)",0,0,0,1,
4,1,0030,1101,11010110,110101100010,3,0,"(5, 4)","(7, 8)",3,"(7, 8)",0,0,0,1,
4,2,0300,1011,10110110,101101100100,3,3,"(4, 4)","(7, 8)",0,"(7, 8)",0,0,0,1,
4,3,0030,1101,11010110,110101100010,3,0,"(4, 3)","(7, 8)",3,"(7, 8)",0,0,0,1,
4,4,0300,1011,10110110,101101100100,3,3,"(3, 3)","(7, 8)",2,"(7, 8)",1,0,0,1,
4,5,3000,0111,01110110,011101101000,3,2,"(3, 4)","(7, 8)",0,"(7, 8)",0,0,3,0,
5,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(3, 2)",2,"(3, 2)",0,0,3,0,
6,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(4, 1)",3,"(4, 1)",1,0,0,1,
6,1,0300,1011,10111000,101110000100,3,3,"(4, 5)","(4, 1)",3,"(4, 1)",0,0,0,1,
6,2,0300,1011,10111100,101111000100,3,3,"(3, 5)","(4, 1)",1,"(4, 1)",1,0,3,0,
7,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(3, 9)",3,"(3, 9)",1,0,0,1,
7,1,0300,1011,10110011,101100110100,3,3,"(4, 5)","(3, 9)",1,"(3, 9)",0,0,3,0,
8,0,0030,1101,11011100,110111000010,3,0,"(5, 5)","(6, 4)",0,"(6, 4)",1,0,0,1,
8,1,0130,1101,11010100,110101000010,3,0,"(5, 4)","(6, 4)",3,"(6, 4)",0,0,0,1,
8,2,0300,1011,10110100,101101000100,3,3,"(4, 4)","(6, 4)",2,"(6, 4)",0,0,0,1,
8,3,3000,0111,01111100,011111001000,3,2,"(4, 5)","(6, 4)",3,"(6, 4)",0,0,0,1,
8,4,0300,1011,10111100,101111000100,3,3,"(3, 5)","(6, 4)",0,"(6, 4)",1,0,0,1,
8,5,0030,1101,11010100,110101000010,3,0,"(3, 4)","(6, 4)",0,"(6, 4)",0,0,0,1,
8,6,0030,1101,11010110,110101100010,3,0,"(3, 3)","(6, 4)",2,"(6, 4)",1,0,3,0,
9,0,0031,1101,11010001,110100010010,3,0,"(5, 5)","(4, 5)",0,"(4, 5)",0,0,0,1,
9,1,0030,1101,11010011,110100110010,3,0,"(5, 4)","(4, 5)",0,"(4, 5)",0,0,0,1,
9,2,0030,1101,11010011,110100110010,3,0,"(5, 3)","(4, 5)",2,"(4, 5)",1,0,3,0,
10,0,0030,1101,11010110,110101100010,3,0,"(5, 5)","(8, 7)",3,"(8, 7)",0,0,0,1,
10,1,0300,1011,10110110,101101100100,3,3,"(4, 5)","(8, 7)",3,"(8, 7)",0,0,0,1,
10,2,0300,1011,10110110,101101100100,3,3,"(3, 5)","(8, 7)",0,"(8, 7)",0,0,0,1,
10,3,0030,1101,11010110,110101100010,3,0,"(3, 4)","(8, 7)",2,"(8, 7)",1,0,3,0,
11,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(0, 7)",1,"(0, 7)",0,0,0,1,
11,1,0003,1110,11100011,111000110001,3,1,"(6, 5)","(0, 7)",0,"(0, 7)",0,0,0,1,
11,2,0030,1101,11010011,110100110010,3,0,"(6, 4)","(0, 7)",0,"(0, 7)",0,0,0,1,
11,3,0030,1101,11010011,110100110010,3,0,"(6, 3)","(0, 7)",3,"(0, 7)",1,0,0,1,
11,4,0300,1011,10110011,101100110100,3,3,"(5, 3)","(0, 7)",2,"(0, 7)",1,0,0,1,
11,5,3000,0111,01110011,011100111000,3,2,"(5, 4)","(0, 7)",0,"(0, 7)",0,0,3,0,
12,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(3, 4)",3,"(3, 4)",1,0,0,1,
12,1,0300,1011,10111001,101110010100,3,3,"(4, 5)","(3, 4)",1,"(3, 4)",0,0,3,0,
13,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(1, 1)",0,"(1, 1)",1,0,0,1,
13,1,0030,1101,11011001,110110010010,3,0,"(5, 4)","(1, 1)",1,"(1, 1)",0,0,0,1,
