game_id,move_id,vision,snake_length,head_direction,head_pos,apple_pos,move,vision_new,snake_length_new,head_direction_new,head_pos_new,apple_pos_new,hit,life
0,0,0020,3,0,"(5, 5)","(0, 9)",3,0200,3,3,"(4, 5)","(0, 9)",0,1
0,1,0200,3,3,"(4, 5)","(0, 9)",3,0200,3,3,"(3, 5)","(0, 9)",0,1
0,2,0200,3,3,"(3, 5)","(0, 9)",3,0200,3,3,"(2, 5)","(0, 9)",0,1
0,3,0200,3,3,"(2, 5)","(0, 9)",2,2000,3,2,"(2, 6)","(0, 9)",0,1
0,4,2000,3,2,"(2, 6)","(0, 9)",0,2000,3,2,"(2, 7)","(0, 9)",0,1
0,5,2000,3,2,"(2, 7)","(0, 9)",0,2000,3,2,"(2, 8)","(0, 9)",0,1
0,6,2000,3,2,"(2, 8)","(0, 9)",1,0002,3,1,"(3, 8)","(0, 9)",0,1
0,7,0002,3,1,"(3, 8)","(0, 9)",3,0002,3,1,"(4, 8)","(0, 9)",0,1
0,8,0002,3,1,"(4, 8)","(0, 9)",0,0020,3,0,"(4, 7)","(0, 9)",0,1
0,9,0020,3,0,"(4, 7)","(0, 9)",3,0200,3,3,"(3, 7)","(0, 9)",0,1
0,10,0200,3,3,"(3, 7)","(0, 9)",1,0200,3,3,"(2, 7)","(0, 9)",0,1
0,11,0200,3,3,"(2, 7)","(0, 9)",0,0020,3,0,"(2, 6)","(0, 9)",0,1
0,12,0020,3,0,"(2, 6)","(0, 9)",3,0200,3,3,"(1, 6)","(0, 9)",0,1
0,13,0200,3,3,"(1, 6)","(0, 9)",2,2000,3,2,"(1, 7)","(0, 9)",0,1
0,14,2000,3,2,"(1, 7)","(0, 9)",1,0002,3,1,"(2, 7)","(0, 9)",0,1
0,15,0002,3,1,"(2, 7)","(0, 9)",3,0002,3,1,"(3, 7)","(0, 9)",0,1
0,16,0002,3,1,"(3, 7)","(0, 9)",1,0002,3,1,"(4, 7)","(0, 9)",0,1
0,17,0002,3,1,"(4, 7)","(0, 9)",3,0002,3,1,"(5, 7)","(0, 9)",0,1
0,18,0002,3,1,"(5, 7)","(0, 9)",1,0002,3,1,"(6, 7)","(0, 9)",0,1
0,19,0002,3,1,"(6, 7)","(0, 9)",2,2000,3,2,"(6, 8)","(0, 9)",0,1
0,20,2000,3,2,"(6, 8)","(0, 9)",1,0002,3,1,"(7, 8)","(0, 9)",0,1
0,21,0002,3,1,"(7, 8)","(0, 9)",2,2030,3,2,"(7, 9)","(0, 9)",0,1
0,22,2030,3,2,"(7, 9)","(0, 9)",0,2030,3,2,"(7, 9)","(0, 9)",3,0
1,0,0020,3,0,"(5, 5)","(7, 9)",1,0002,3,1,"(6, 5)","(7, 9)",0,1
