Shop Name,Shop Phone Number,Shop Postcode,Franchise shop?,Caller ID,Call Day,Call Time,Call answered?,Shop Representative Male?,Total Price Quote (enter -1 if no quote is provided),Unable to give a quote?,Reason for No Quote,Price range given?,Price Quote - Low Bound,Price Quote - High Bound,Price breakdown?,Price Quote - Radiator,Price Quote - Labor,Price Quote - Others,Other Notes
Burien Japanese Auto Service,(206) 926-8917,98168,No,p1,Wednesday,12:00:00 PM,Yes,Male,675,,,,,,,,,,"Does NOT include hose, but suggests getting them done"
No 1 Japanese Auto Repair,(206) 782-0711,98133,No,p1,Friday,2:00:00 PM,No,,,,,,,,,,,,"XXX Called three times, no answer (voicemail not left)"
Auburn City Imports Honda & Acura Auto Repair,(253) 939-0437,98002,No,p1,Tuesday,2:00:00 PM,Yes,Male,725,,,,,,,,,,"Parts, labor, coolant; asked to make an appointment"
Villa Transmissions & Auto,(253) 584-1668,98499,No,p1,Monday,9:00:00 AM,Yes,Male,,No,Shop is closed,,,,,,,,Shop is closed
Lake City Autoworks,(206) 364-7180,98125,No,p1,Tuesday,2:00:00 PM,Yes,Male,785,,,,,,,,,,"Asked if vehivle was 5 spd or Auto, I answered Auto; asked if I was certain it was leaking fluid; didn't provide a breakdown for the price (did say 785 was for parts and labor), but did suggest that adding coolant and other hoses and servicing would likely increase the price"
Browns Automotive Machines,(360) 651-8031,98270,No,p2,Tuesday,12:00:00 PM,Yes,Female,,Yes,Shop does not provide this service,,,,,,,,Does not accept blocked calls; does not provide this service
Bill Harris Used Cars,(509) 697-7006,98942,No,p2,Tuesday,12:00:00 PM,Yes,Male,500,,,,,,,,,,"Call was answered by a female, but I was transferred to a male mechanic for the price quote"
Tenerâ€™s Auto Clinic,(425) 252-8090,98201,No,p2,Tuesday,12:00:00 PM,Yes,Male,600,,,,,,Yes,210,330,60,Mechanic answered; asked 2 door or 4 door (said 4); suggested also doing hoses for $25-$50 more
Benâ€™s Automotive,(360) 352-9414,98506,No,p2,Tuesday,4:00:00 PM,Yes,Male,625,,,,,,,,,,
Loyal Automotive,(206) 453-5466,98117,Yes,p2,Wednesday,11:00:00 AM,Yes,Male,1063,,,,,,,,,,Got voicemail at 4:30pm Tues. Reached someone Wed at 11am. Asked gas or hybrid. Quote includes hoses ($40 each) and tax. Said repair is labor intensive and would take 3.5 hrs.
Les Schwab Tire Center,(509) 735-0321,99336,No,p3,Wednesday,10:00:00 AM,Yes,Male,,Yes,We don't do radiator.,,,,,,,,
Bakerâ€™s Auto Repair,(509) 576-9149,98901,No,p3,Wednesday,10:00:00 AM,Yes,Female,,Yes,Need to do more research.,,,,,,,,Sounds very thorough.
Carefree RV & Auto Repair,(509) 396-7435,99336,No,p3,Wednesday,10:00:00 AM,No,,,,,,,,,,,,
Precision Tune Auto Care,(253) 581-2443,98498,No,p3,Wednesday,10:00:00 AM,Yes,Female,,,,Yes,600,1000,,,,,Need to take a look.
Seattle Automotive,(206) 535-6690,98109,No,p3,Wednesday,10:00:00 AM,No,,,,,,,,,,,,Number is not working...
JC Auto repair,(425) 438-8883,98204,No,p4,Monday,1:00:00 PM,Yes,Male,,No,,Yes,600,658,Yes,285,280,32,
Plateau Motors,(425) 898-9900,98074,No,p4,Monday,1:00:00 PM,Yes,Male,,No,,Yes,300,600,,,,,
East Hill Auto Service,(253) 850-1100,98030,No,p4,Monday,1:00:00 PM,Yes,Male,,No,,Yes,600,700,Yes,350,330,,
Model Garage & Automotive,(425) 451-2286,98024,No,p4,Monday,1:00:00 PM,Yes,Male,736,No,,Yes,,,Yes,,,,
Alâ€™s Automotive Service,(253) 584-9520,98499,No,p5,Thursday,10:00:00 AM,No,,,,,,,,,,,,Did not pick up the callÉ
G & F Automotive,(509) 424-3878,98204,No,p5,Thursday,10:00:00 AM,No,,,,,,,,,,,,Out of business.
SK Motorsport,(360) 714-9900,98109,No,p5,Thursday,10:00:00 AM,Yes,Female,650,No,,,,,Yes,350,300,,
JayÕs Kirkland Autocare,(425) 822-3333,98002,No,p5,Thursday,10:00:00 AM,Yes,Male,,No,,Yes,650,750,,,,,
Interstate Tire & Automotive inc,(206) 246-6252,98074,No,p6,Monday,1:00:00 PM,Yes,Male,780,No,,,,,,,,,
509 Mobile Service,(253) 584-9520,98499,Yes,p6,Monday,1:00:00 PM,No,,,No,,,,,,,,,
Everett Tire & Automotive,(509) 424-3878,98204,No,p6,Monday,1:00:00 PM,Yes,,,Yes,Does not provide the service.,,,,,,,,Tire only
Surrey North Auto Repair,(360) 714-9900,98109,No,p6,Monday,1:00:00 PM,Yes,Female,720,No,,,,,Yes,370,350,,
Legacy Automotive Care Center,(425) 822-3333,98002,No,p7,Tuesday,2:00:00 PM,Yes,Male,,,,Yes,600,700,,,,,Did not sound sincere.
Vandervert Automotive Services,(360) 733-5646,98074,No,p7,Tuesday,2:00:00 PM,No,,,,,,,,,,,,Number does not seem to workÉ
Pep Boys Auto Service & Tire,(425) 939-0165,98942,No,p7,Tuesday,2:00:00 PM,Yes,Male,580,,,,,,,,,,
