,id,caller_id,name,address_city,address,phone_number,county,chain,treat,call_attempts,day,time,female_rep,esl_rep,script_budget_upcharge,script_knowledge,quote_point,quote_range_low,quote_range_high,no_quote_reason,quote_breakdown,notes,analyzed_comment,range_provided,enrolled_subject,outcome,returned_call,failed_callback,does_not_perform_service,onsite_additional_info,female_caller,esl_caller,non_complier,attrition,esl_affinity,gender_affinity,gender_esl_affinity,no_quote_reason_NA,no_quote_reason_does_not_provide_this_service,no_quote_reason_no_contact_after_2_tries,no_quote_reason_other,no_quote_reason_refused_to_provide_quote,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
1,1,3,"Skyline Automotive Repair",auburn,"1118 A St SE Auburn, WA 98002","(253) 329-2159",king,0,0,2,Wednesday,15,,,,,,,,,,"Went on voicemail - call back later",no_phone_contact,0,0,,0,0,0,0,1,1,0,0,,,,1,0,0,0,0,47.29753,-122.228586,1,rooftop,1118,"A St SE",,,Auburn,WA,"King County",98002,US,King
2,2,5,"Dave’s Valley Auto Clinic",auburn,"4725 Auburn Way N Auburn, WA 98002","(253) 850-1538",king,0,1,2,Monday,10,1,0,1,0,638,,,,0,,no_comment,0,1,638,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,47.349341,-122.225953,1,rooftop,4725,"Auburn Way N",,,Auburn,WA,"King County",98002,US,King
3,3,1,"A Street Automotive",auburn,"225 A St SE Auburn, WA 98002","(253) 833-1000",king,0,1,1,Thursday,12,0,0,0,0,,,,other,,"failed call back - did not provide quote in message",returned_call_with_quote_without_quote,0,1,,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,47.305055,-122.228907,1,rooftop,225,"A St SE",,,Auburn,WA,"King County",98002,US,King
4,4,1,"Auburn Car Repair & Offroad",auburn,"328 37th St NW Ste B Auburn, WA 98001","(253) 939-5019",king,0,1,2,Thursday,12,0,0,0,0,679,,,,0,"specified without tax",indicated_additional_cost,0,1,679,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,47.339548,-122.234992,1,rooftop,328,"37th St NW",Ste,B,Auburn,WA,"King County",98001,US,King
5,5,1,"Bailey’s Complete Automotive Repair",puyallup,"12310 Meridian E Ste 2 Puyallup, WA 98373","(253) 256-5842",pierce,0,1,1,Monday,11,0,0,0,0,,580,650,,0,,no_comment,1,1,615,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,47.14464,-122.293488,1,rooftop,12310,"Meridian E",Ste,2,Puyallup,WA,"Pierce County",98373,US,Pierce
6,6,7,"Auburn Foreign & Domestic",auburn,"725 Auburn Way N Auburn, WA 98002","(253) 833-8161",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.314126,-122.225112,1,rooftop,725,"Auburn Way N",,,Auburn,WA,"King County",98002,US,King
7,7,7,"T’s Automotive",auburn,"724 22nd St NE Auburn, WA 98002","(253) 288-1078",king,0,1,1,Tuesday,14,0,0,0,0,,507,707,,1,,no_comment,1,1,607,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,47.326129,-122.220645,1,rooftop,724,"22nd St NE",,,Auburn,WA,"King County",98002,US,King
8,8,3,"Downtown Auto Repair",auburn,"102 Auburn Way N Auburn, WA 98002","(253) 351-0300",king,0,0,1,Wednesday,15,,,,,,,,no_contact_after_2_tries,,"Not in service anymore",no_phone_contact,0,0,,0,0,0,0,1,1,0,0,,,,0,0,1,0,0,47.308563,-122.225526,1,rooftop,102,"Auburn Way N",,,Auburn,WA,"King County",98002,US,King
9,9,7,"A & W Automotive",auburn,"1535 Auburn Way N Auburn, WA 98002","(253) 929-8319",king,0,1,2,Wednesday,14,1,0,0,0,,,,other,,"will call back with quote",failed_callback,0,1,,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,47.322029,-122.222377,1,rooftop,1535,"Auburn Way N",,,Auburn,WA,"King County",98002,US,King
10,10,7,"Regal Auto Care Tire Pros",auburn,"1901 Auburn Way N Auburn, WA 98002","(253) 735-3363",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.324863,-122.221856,1,rooftop,1901,"Auburn Way N",,,Auburn,WA,"King County",98002,US,King
